@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9-11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute label {defective,clean}

@data
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
